What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
<latex>~\\<br>Is it possible in $IA^+$ to have a value of type $var[int]$ that does not belong to the class $Var[int]$?<br></latex>	yes. pg 26813, right column<br>
<latex>~\\<br>How is the ``product'' class combinator $\ast$ defined?<br></latex>	pg 26814, top left<br>
<latex>~\\<br>In $IA^+$ there is a combinator $<> : (\theta_1 \to cls~\theta_2) \times (\theta_2 \to cls~\theta_1) \to cls~(\theta_1 \times \theta_2)$. For $F_1 : \theta_1 \to cls~\theta_2$ and $F_2 : \theta_2 \to cls~\theta_1$, describe what an instance of $F_1 <> F_2$ is.<br></latex>	pg 26814, top left<br>
<latex>~\\<br>The array data structure can be regarded as a combinator in $IA^+$. What is the type of this combinator, and how does it work?<br></latex>	pg 26814, top-left<br>
<latex>~\\<br>Give $IA^+$'s type rules for cls types.<br></latex>	pg 26814, top right, figure 1.<br><br>
<latex>~\\<br>What does an expression of the form $\mbf{new}~C$ denote in $IA^+$?<br></latex>	pg 26814, left column.<br>
What can be said about the difference between the typing context in a class's constructor and a the typing context in a class's record of methods?	pg 26814, right column<br>
<latex>~\\<br>In $IA^+$, we use the abbreviation <br>$$a := e \overset{def}{=} \mbf{letval}~e~a$$<br>How does this abbreviation works?<br></latex>	letval's first argument is an expression of datatype delta. Its second argument is a function that maps the value of the first argument to some other type. (i.e., it first evaluates the expression based on the current state and then applies the second argument to the resulting value). If a is a var, then we can apply it as a function (see the subtyping assumptions on the left column of pg 26813)<br>
<latex>~\\<br>Give the $\beta$, $\eta$, and $\gamma$ rules for the introduction and elimination forms of the $cls~\theta$ type constructor.<br></latex>	pg 26815, top left corner.<br>
<latex>~\\<br>For each constant built in to $IA^+$, there is an equational rule governing its interaction with the $\mbf{new}$ construct. Give an equation for each of:<br>\begin{itemize}<br>\item skip<br>\item Sequencing \_;\_ (there are actually two similar rules here: give both)<br>\item $\mbf{letval}$<br>\item $\mbf{if}$<br>\end{itemize}<br></latex>	pg 26815, left column
<latex>~\\<br>What is \emph{specification logic}? What are its connectives? What forms do its atomic formulas have?<br></latex>	pg 26815, right column<br>
<latex>~\\<br>What is a \emph{reflective type class}?<br>What are \emph{passive types}? What are \emph{constant types}?<br>What are the proof rules for the non interference predicate $A \# B$? <br></latex>	pg 26822 left column (points 1,2,3,4, and also the text immediately preceding)<br>pg 26815, right column (points 1,2,3)<br>
<latex>~\\<br>$IA^+$ extends specification logic with formulas of the form ``$\mbf{Inst}$~C~x.\phi(x)$''. What is the meaning of such formulas?<br></latex>	pg 26815, right column.<br>
<latex>~\\<br>Conside the following specification:\\<br>$\mbf{Inst}$~Var[$\delta$]~x.\\<br>$~~\forall p: \mathit{exp}[\delta] \to \mathit{assert}.~x \# p \Longrightarrow$\\<br>$~~~~\{ p(k) \}~x.\mathit{put}~k~\{ p(x.get) \}$\\~\\<br>What does it mean?<br></latex>	pg 26815, bottom right corner.<br>
<latex>~\\<br>Give an equational specification for a queue class in $\emph{IA}^+$.<br></latex>	pg 26816
<latex>~\\<br>Give a Hoare-triple style specification for a queue class in $IA^+$.<br></latex>	pg 26816, figure 4<br><br>
<latex>~\\<br>Give the syntax of commands for $\smc{Imp}$.<br></latex>	pg 24575<br>
<latex>~\\<br>Give the operational semantics of the imperative language $\smc{Imp}$.<br></latex>	pg 24576, figure 1.1<br>
<latex>~\\<br>Set $w \doteq \mathit{while}~b~\mathit{do}~c$. Then consider the following statement:<br>$$w \approx \mathit{if}~b~\mathit{then}~(c;w)~\mathit{else}~\mathit{skip}$$<br>where $\approx$ is defined by: $c_0 \approx c_1$ iff $\forall \sigma, \sigma'.~ \langle c_0, \sigma \rangle \rightarrow \sigma' \Leftrightarrow \langle c_1, \sigma \rangle \to \sigma'$.\\~\\<br>Prove or disprove.<br></latex>	pg 24576, lemma 1.5.1<br>
Do exercise 1.5.2 on page 24576.<br>	pg 24576.<br>
<latex>~\\<br>The denotational semantics of $\mathit{Imp}$ is given by a function $\sem{-}$. What is its ``type signature''?<br>Give its definition by structural induction.<br></latex>	signatures is on pg 24577<br>definition is on pg 24578<br>
<latex>~\\<br>Consider the following soundness and completeness theorem regarding $\mathit{Imp}$:\\~\\<br>For any $c, \sigma, \sigma'$, $\langle c, \sigma \rangle \rightarrow \sigma' \Leftrightarrow \sem{c} \sigma = \sigma'$.\\~\\<br>Prove or disprove.<br></latex>	pg 24577, theorem 1.5.3<br>
Give Reynolds' syntax of type expressions.	pg 17546, bottom left<br>
<latex>~\\<br>Reynolds uses $\Omega$ to denote the set of all type expressions. What does $\Omega_c$ denote?<br></latex>	the subset of type expressions which do not contain variables.<br>pg 17546, bottom left.<br>
<latex>~\\<br>Reynolds uses $\Omega$ for the set of all type expressions. What does he use $\Omega^*$ to denote? Hint: it's not the Kleene star.<br></latex>	the type assignments on \Omega<br>pg 17546, top right<br><br>
<latex>~\\<br>Let $\omega \in \Omega_c$. Then what does $K_{\omega}$ denote? What does $E_{\pi \omega}$ denote?<br></latex>	pg 17546, right column: see (Ea), (Eb), etc.<br>
<latex>~\\<br>What is a \emph{set assignment}? Let $S$ be a set assignment. Then what does $S^\#$ denote?<br></latex>	pg 17546, "To specify the semantics of type expressions, we assume that we are given..." (right column, near bottom)<br>
<latex>~\\<br>Let $S$ be a set assignment. What does $S^{\#*}$ denote?<br></latex>	It maps each type assignment to the set of valuations corresponding to that assignment.<br>pg 17547 left<br>
<latex>~\\<br>A conventional set-theoretic semantics would be obtained by fixing some set assignmnet $S$ and defining a family of semantics functions from $E_{\pi \omega}$ to $S^{\# *} \pi \to S^{\#} \omega$. Why does Reynolds avoid doing this?<br></latex>	to capture abstraction properties we need to relate the meanings of an expression under different set assignments.<br>pg 17547 left<br>
<latex>~\\<br>Reynolds' function $\mu_{\pi \omega}$ for interpreting typed expressions has the domain $E_{\pi \omega}$. What is its codomain? Give the inductive definition of $\mu_{\pi \omega}$.<br></latex>	<latex>~\\<br>Its codomain is:<br>$$\prod_{S \in \mathcal S} (S^{\#*}\pi \to S^{\#}\omega)$$<br>pg 17547 left<br></latex>
<latex>~\\<br>Let $s$ be a set. What does Reynolds use $I(s)$ to denote?<br></latex>	pg 17547, right column<br>
<latex>~\\<br>Let $r \in Rel(s_1, s_2)$ and $r' \in Rel(s_1', s_2')$. What does $r \to r'$ denote? What does $r \times r'$ denote?<br></latex>	pg 17547, right column.<br><br>
<latex>~\\<br>For set assignments $S_1$ and $S_2$, what is a binary \emph{relation assignment} between $S_1$ and $S_2$?<br></latex>	pg 17547, right column<br>
<latex>~\\<br>If $R$ is a relation assignment between set assignments $S_1$ and $S_2$, then what does $R^{\#}$ denote?<br>What does $R^{\#*}$ denote?<br></latex>	pg 17547, bottom right corner.<br>pg 17548, top left corner.<br><br>
<latex>~\\<br>State Reynolds' \emph{Identity Extension Lemma}. How would we go about proving this lemma?<br></latex>	pg 17548, left column, near top. Note that T<sub>0</sub> is being defined "on the spot" here.<br><br><br>
State Reynolds' abstraction theorem.<br>	pg 17548, left column<br><br>
<latex>~\\<br>What does it mean for a type definition to be \emph{opaque}?<br></latex>	pg 17548, left column, section 4<br><br>
<latex>~\\<br>For $\tau \in T$ and $\omega, \omega' \in \Omega$, what does $\omega'/\tau \to \omega$ denote? For $\pi \in \Omega^*$, what does $\pi/\tau \to \omega$ denote?<br></latex>	pg 17548, bottom left (note that the first asterisk is erroneous).<br>
<latex>~\\<br>Consider the following equality:\\~\\<br>$S^{\#}(\omega' / \tau \to \omega) = [S \mid \tau \mapsto S^\# \omega]^{\#} \omega'$\\~\\<br>Prove or disprove.<br></latex>	true. pg 17548, top right<br>todo: add impostor?
<latex>~\\<br>Consider the following equality:\\~\\<br>$R^{\#}(\omega' / \tau \to \omega) = [R \mid \tau \mapsto R^\# \omega]^{\#} \omega'$\\~\\<br>Prove or disprove.<br></latex>	true. pg 17548, top right<br>todo: add impostor?<br>
<latex>~\\<br>For $\pi \in \Omega^*$ and $\tau \in T$, what does Reynolds use $\pi - \tau$ to denote?<br></latex>	pg 17548, right column<br>
<latex>~\\<br>Let $\eta \in S^{\# *}$. Consider the following statement:<br>$$\eta \upharpoonleft dom(\pi - \tau) \in [S \mid \tau \mapsto S^\# \omega]^{\# *}(\pi - \tau)$$<br>Why is this true? Why is it important?<br></latex>	pg 17548, right column.<br>
<latex>~\\<br>In Reynolds' language, a type definition has the form:\\~\\<br>$\mbf{lettype}~\tau = \omega~\mbf{in}~e$\\~\\<br>Provide the semantics for this type definition form.<br></latex>	pg 17548, right column, near bottom (the discussion directly above these definitions is also relevant)<br><br>
<latex>~\\<br>Let $S$ be a set assignment, $\omega_1, \omega_2 \in \Omega$, and $r$ a relation between $S^{\#} \omega_1$ and $S^{\#} \omega_2$. Consider the following statement:\\~\\<br>For all $\pi \in \Omega^*$, $\tau \in T$, $\omega' \in \Omega$, $e \in E_{\pi - \tau,\omega'}$, and $\eta \in S^{\# *}\pi$,\\~\\<br>$\langle \mu_{\pi,(\omega'/\tau \to \omega_1)} \sem{\mbf{lettype}~\tau = \omega_1~\mbf{in}~e}~S~\eta,\\ ~~\mu_{\pi,(\omega'/\tau \to \omega_2)} \sem{\mbf{lettype}~\tau = \omega_2~\mbf{in}~e}~S~\eta \rangle \in [\mathit{IA} \mid \tau \mapsto r]^{\#} \omega'$\\~\\<br>Prove or disprove.<br></latex>	pg 17548, right column, "Pure type definition theorem"
<latex>~\\<br>Reynolds provides a syntactic sugar for an extended lettype construct, which allows us to bind not only an abstract type, but also a primitive operator on that type. Show how this construct can be implemented as sugar using the vanilla lettype construct, which binds only an abstract type.<br></latex>	pg 17549, top left<br>
<latex>~\\<br>State Reynolds' \emph{General Type Definition Theorem}, which involves the extended lettype construct allowing us to bind a primitive operator along with the abstract type variable.<br></latex>	pg 17549 left<br>
<latex>~\\<br>When Reynolds develops his denotational semantics for domains rather than sets, how is $\mu_{\pi \omega}$ defined for the case of the if-then-else constructs?<br></latex>	in the obvious way<br>pg 17549<br>
<latex>~\\<br>How does Reynolds define denotational semantics for the fixpoint construct $Y$?<br></latex>	pg 17549, right column (Ei) and (Mi)<br>
<latex>~\\<br>What does it mean for a subset $C$ of a domain $D$ to be \emph{complete}? What does it mean for a relation between domains to be complete?<br></latex>	pg 17549, right column.<br>
<latex>~\\<br>Consider the following statement:\\~\\<br>Partial orderings of domains are complete relations that are preserved by $- \to - $ and $- \times -$, i.e.<br>$$ \sqsubseteq_s \to \sqsubseteq_{s'} = \sqsubseteq_{s \to s'}$$<br>and<br>$$\sqsubseteq_s \times \sqsubseteq_{s'} = \sqsubseteq_{s \times s'}$$<br>Prove or disprove.<br></latex>	true. pg 17550 left<br>
<latex>~\\<br>Let $s_1$ and $s_2$ be domains. What is a \emph{representation} between $s_1$ and $s_2$?<br></latex>	pg 17550 left<br><br>
<latex>~\\<br>For $\langle \phi, \psi \rangle \in \mathit{Rep}(s_1,s_2)$ and $\langle \phi', \psi'\rangle \in \mathit{Rep}(s_1',s_2')$, what does $\langle \phi, \psi \rangle \to \langle \phi', \psi' \rangle$ denote?<br>What does $\langle \phi, \psi \rangle \times \langle \phi', \psi' \rangle$ denote?<br></latex>	pg 17550, bottom left, top right
<latex>~\\<br>Let $S_1$ and $S_2$ be domain assignments.<br>Let $P$ be an element of the set<br>$$\prod_{\tau \in T} \mathit{Rep}(S_1 \tau, S_2 \tau)$$<br>I.e., $P$ is a representation assignment between $S_1$ and $S_2$. What does $P^\#$ denote? <br></latex>	pg 17550 right, (P1, P2, ...)<br><br>
Read pg 18017-18019 down to "This discussion of data abstraction..."	pg 18017<br>
<latex>~\\<br>Characterize the values that belong to the type $\forall \alpha. \alpha \to \alpha \to \alpha$.<br></latex>	pg 18019, near bottom.<br><br>
Read pg 18019 to 18020, from "Although a complete..." to bottom of pg 18020.<br>	pg 18019<br>
<latex>~\\<br>In the ``possible worlds'' semantic model of Algol-like languages, types are interpreted as \underline{~~~~~~} and phrases are interpreted as \underline{~~~~~~~~~~~}.<br></latex>	pg 18022, top<br>
Read page 18022<br>	pg 18022<br>
Give the type syntax of O'Hearn and Tennant's Algol-like language.	pg 18023, near top<br><br>
O'Hear and Tennant regard binary relations R as triples (W<sub>0</sub>,W<sub>1</sub>,S). Explain.<br>	pg 18023, section 2.2<br><br>
<latex>~\\<br>What do O'Hearn and Tennant use $R : W_0 \leftrightarrow W_1$ to denote? What about $w_0 [R] w_1$?<br></latex>	pg 18023, section 2.2<br>
<latex>~\\<br>Let $W$ be a set. What do O'Hearn and Tennant use $\Delta_W$ to denote?<br></latex>	pg 18023, section 2.2<br>
<latex>~\\<br>Give the syntax of the untyped lambda calculus. What does $\Lambda$ denote?<br></latex>	pg 24582, def 2.1.1<br><br>
<latex>~\\<br>In the untyped lambda calculus, what lambda term is $\Delta$ an abbreviation for? What about $S$?<br></latex>	pg 24582<br>
What does it mean for an untyped lambda term to be in <i>head normal form</i>?	pg 24582, def 2.1.2<br><br>
Any lambda term has one of the following to forms:<br>1.) HNF form<br>2.) __________ (complete the blank)	pg 24582, remark 2.1.3
<latex>~\\<br>Let $M$ be an untyped lambda term and $u$ a word over the alphabet $\{ 0, 1, 2 \}$. What does $M/u$ denote?<br></latex>	pg 24582, def 2.1.4<br>
<latex>~\\<br>If $M$ and $N$ are untyped lambda terms and $u$ is a word over $\{ 0, 1, 2 \}$, then what does $M[N/u]$ denote? <br></latex>	pg 24583. Right below figure at top.<br>
<latex>~\\<br>Let $u,v$ be words over the alphabet $\{ 0,1,2 \}$. What does $u \leq v$ mean? $u \not \uparrow v$?<br></latex>	pg 24583, right below figure at top<br>
<latex>~\\<br>Give the syntax for untyped lambda calculus contexts with numbered holes. Consider the following statement:\\~\\<br>For every term $M$ and every occurrence $u$ of $M$, there exists a unique context $C$ with a unique hole occurring exactly once, such that $M = C[M/u]$.\\~\\<br>Prove or disprove.<br></latex><br>	pg 24583, <br>definition 2.1.6,<br>prop 2.1.7<br><br>
Define the "filling" operation on numbered-hole contexts.	pg 24583, figure 2.1 at top<br>
<latex>~\\<br>Provide definitions of the predicates $Free(u,M)$ and $Bound(u,v,M)$.<br></latex>	pg 24583 bottom<br>pg 24584 top<br>
<latex>~\\<br>Let $M$ be an untyped lambda term. How do we define $FV(M)$? $BV(M)$? What does it mean for a variable $x$ to be \emph{fresh} relative to $M$?<br></latex>	pg 24584, below figure at top<br>
<latex>~\\<br>Give the $\beta$-reduction rules of the untyped lambda calculus. (hint: there are four of them)<br></latex>	pg 24585, figure 2.4<br>
<latex>~\\<br>Let $\to_{\beta}$ be the beta reduction relation. What relation does $=_{\beta}$ denote?<br></latex>	pg 24585, def 2.1.9<br>
<latex>~\\<br>Consider the following statement: $S~K~K = I$. Prove or disprove.<br></latex>	true. pg 24582 has the definitions of S and K and I, which make this obvious.
<latex>~\\<br>What can be said of a reduction sequence that starts from a head normal form: <br>$$\lambda x_1 \cdots x_n. x M_1 \cdots M_p$$<br></latex>	pg 24586, remark 2.1.11<br>
<latex>~\\<br>Consider the following statement:\\~\\<br>If $M \to M'$, then $M[N/x] \to M'[N/x]$\\~\\<br>Prove or disprove.<br></latex>	true. pg 24586, lemma 2.1.12<br>todo: add impostor?<br>
<latex>~\\<br>Consider the following statement:\\~\\<br>If $N \to N'$, then $M[N/x] \to^{*} M[N'/x]$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24586, lemma 2.1.12 (2)<br>todo: add impostor?<br>
<latex>~\\<br>Consider the following statement:\\~\\<br>$\beta$-reduction is locally confluent: if $M \to N$ and $M \to P$, then $N \to^* Q$ and $P \to^* Q$ for some $Q$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24586, prop 2.1.13.<br>todo: add impostor?<br>
<latex>~\\<br>Consider the following statemen:\\~\\<br>The $\beta$-reduction relation is confluent, i.e. if $M \to^* N$ and $M \to^* P$, then $N \to^* Q$ and $P \to^* Q$ for some $Q$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 24586/24587, theorem 2.1.14
